Map_ID,Omega_m,sigma_8,A_SN1,A_AGN1,A_SN2,A_AGN2
9586.0,0.369,0.8234,1.0324,1.59992,1.05044,0.63949
9886.0,0.3486,0.6114,0.75262,0.63905,0.85678,0.57395
10364.0,0.1782,0.7138,0.6625,2.97729,0.7285,0.64752
4459.0,0.4546,0.761,2.4932,2.5562,1.88818,0.88087
7408.0,0.3926,0.8966,1.12818,1.36604,1.31312,1.83401
9150.0,0.2646,0.8086,1.59549,0.74226,1.24229,0.50104
930.0,0.3706,0.653,0.53812,0.65884,1.29504,1.27191
3802.0,0.2926,0.7134,0.88148,0.26609,0.78079,0.69882
5718.0,0.1362,0.7098,2.36526,0.43952,1.18674,0.89565
12957.0,0.1722,0.8794,3.39168,1.13761,0.98282,0.54224
7882.0,0.193,0.6866,0.59132,0.37631,0.92595,1.05044
7782.0,0.1498,0.987,0.99861,3.33572,1.2544,1.30044
4595.0,0.1358,0.8382,0.2924,0.33033,0.97468,0.74898
4302.0,0.469,0.6818,0.54715,0.41812,1.3463,1.06955
8579.0,0.461,0.909,3.2898,2.9363,0.57794,0.73662
577.0,0.409,0.7286,2.57041,0.42396,1.13524,1.43098
12809.0,0.1534,0.6386,0.37527,1.23628,0.57236,0.62373
1653.0,0.2062,0.827,0.94213,0.69448,1.77645,0.6648
5089.0,0.4298,0.9134,0.85738,1.00139,0.7983,0.50593
14942.0,0.1854,0.7978,0.30566,1.79751,1.51887,0.53403
11373.0,0.4742,0.6546,0.52341,1.69114,0.55517,0.90313
594.0,0.2042,0.671,2.73967,0.33402,1.44693,1.57462
7752.0,0.421,0.967,1.12194,0.53961,1.20497,1.26488
755.0,0.365,0.6906,0.50768,0.59132,1.49381,1.55509
7444.0,0.2326,0.9554,2.91198,2.43176,1.04899,0.58845
