Map_ID,Omega_m,sigma_8,A_SN1,A_AGN1,A_SN2,A_AGN2
11297.0,0.2654,0.9426,1.04391,2.47255,0.83915,0.57794
12968.0,0.363,0.9534,0.30907,0.58479,1.18345,1.89605
11848.0,0.487,0.921,0.79114,0.36098,0.51584,0.97603
3054.0,0.4022,0.7694,0.25314,1.49692,1.67597,0.68539
2600.0,0.2762,0.661,1.00696,1.74836,1.81378,1.53581
8137.0,0.1962,0.8386,0.46716,1.03526,0.50383,1.28788
8014.0,0.3434,0.6102,2.34567,1.77769,0.63156,1.2861
2610.0,0.327,0.9638,0.25596,1.22944,0.89689,0.86394
10006.0,0.3678,0.631,0.39447,2.12285,1.47325,0.84968
10207.0,0.4746,0.9714,2.25012,0.78241,0.72749,1.19831
12377.0,0.2582,0.6814,3.8,2.81669,1.20164,1.5768
14768.0,0.3626,0.8434,0.53071,1.21251,1.83655,0.76366
11037.0,0.4854,0.7966,2.45207,0.714,1.58337,0.91573
14798.0,0.4246,0.663,0.28126,0.49792,0.89317,1.3333
5674.0,0.3162,0.8482,0.87661,0.94213,0.78622,1.04464
2309.0,0.1102,0.7722,0.32219,0.51192,1.69232,1.14472
9467.0,0.427,0.819,0.67736,2.34567,1.91454,1.09354
2905.0,0.2046,0.869,2.58471,2.71697,1.93589,0.83915
4496.0,0.1258,0.9186,0.94737,1.38896,1.27368,0.7983
9464.0,0.1702,0.6986,0.31864,0.30736,1.17528,0.75106
8699.0,0.1466,0.897,0.43347,0.50768,0.62633,1.2492
14701.0,0.293,0.8406,0.31252,1.94801,0.75733,1.16231
8095.0,0.1082,0.6802,1.31768,0.30651,1.45498,0.887
14253.0,0.3194,0.9578,2.66475,0.87418,0.67222,1.15749
9591.0,0.369,0.8234,1.0324,1.59992,1.05044,0.63949
