Map_ID,Omega_m,sigma_8,A_SN1,A_AGN1,A_SN2,A_AGN2
4812.0,0.1762,0.9782,0.34151,3.52592,0.66943,1.58997
13742.0,0.451,0.7466,2.00277,0.25525,0.60165,0.50313
10755.0,0.231,0.8082,0.30993,0.70613,0.69786,1.25093
14027.0,0.3738,0.8538,0.34628,0.27662,0.58116,0.67971
14836.0,0.3638,0.7162,2.26263,0.41928,1.97931,0.85916
6142.0,0.155,0.7454,0.28519,0.45565,1.14155,0.60165
11586.0,0.437,0.9914,0.56097,1.48041,1.23029,0.98146
2591.0,0.201,0.7994,2.84021,0.69255,1.37268,1.41519
11511.0,0.2482,0.8034,1.96973,0.42988,0.64573,0.59337
927.0,0.4046,0.9702,1.9752,0.35601,1.00347,1.16393
5559.0,0.3714,0.6514,3.08656,2.33918,0.75944,0.84031
1360.0,0.2358,0.7842,1.18921,2.50012,1.2492,0.95993
9236.0,0.4446,0.7834,0.44442,1.17936,1.23542,1.60325
5397.0,0.453,0.969,0.67924,0.39121,0.51441,1.67365
11307.0,0.2654,0.9426,1.04391,2.47255,0.83915,0.57794
12572.0,0.4518,0.6862,1.42405,0.28126,0.99931,0.95198
12575.0,0.4518,0.6862,1.42405,0.28126,0.99931,0.95198
10627.0,0.2122,0.9918,1.47631,1.08523,1.26663,0.63156
3775.0,0.2074,0.7486,2.24389,0.89627,0.70076,0.67689
6239.0,0.4334,0.7102,0.33402,2.77791,1.32409,1.20164
3820.0,0.183,0.7986,1.17283,2.07053,1.91189,0.79388
8013.0,0.3434,0.6102,2.34567,1.77769,0.63156,1.2861
11599.0,0.2282,0.8714,2.8481,1.91587,1.9602,1.38032
8050.0,0.1974,0.801,1.28165,3.65533,1.09354,0.70271
4810.0,0.1762,0.9782,0.34151,3.52592,0.66943,1.58997
