Map_ID,Omega_m,sigma_8,A_SN1,A_AGN1,A_SN2,A_AGN2
4915.0,0.3018,0.7378,0.40444,1.25353,1.0519,0.70466
797.0,0.1914,0.7386,0.36602,0.56723,0.59337,1.69702
8179.0,0.3154,0.639,0.35799,0.63552,0.76154,0.52159
5737.0,0.3318,0.8494,0.62851,2.62079,1.17365,1.91189
11665.0,0.1686,0.8622,1.48865,0.26389,1.71119,0.71055
3472.0,0.3002,0.9902,0.95,1.71,0.96795,1.73748
1920.0,0.3438,0.681,1.79253,2.31338,1.48349,0.69303
4279.0,0.2462,0.7402,0.52051,0.85263,0.86874,0.74691
4254.0,0.257,0.893,1.14711,2.23767,1.6144,0.58601
13211.0,0.4162,0.865,0.26981,0.89876,0.73255,1.14631
6118.0,0.4922,0.7062,2.05908,0.36704,1.1088,1.02456
8556.0,0.2066,0.679,2.07053,1.1599,1.57899,1.12117
9578.0,0.2694,0.8194,0.35601,2.14652,0.6272,0.50243
13640.0,0.407,0.8818,1.35472,3.90683,0.58196,1.13997
10858.0,0.4134,0.8138,0.76525,0.82702,0.9221,0.68634
10853.0,0.4134,0.8138,0.76525,0.82702,0.9221,0.68634
10427.0,0.269,0.919,0.64618,0.56097,0.76684,1.99585
10656.0,0.2738,0.7654,0.92916,1.40444,1.20664,1.09809
9131.0,0.2594,0.9198,3.12098,0.39998,1.36131,1.089
4596.0,0.1358,0.8382,0.2924,0.33033,0.97468,0.74898
4336.0,0.3502,0.781,0.34917,0.52778,1.00208,1.42504
11097.0,0.177,0.637,3.49671,1.16635,0.56683,1.47325
11.0,0.309,0.979,3.11234,1.12194,0.6685,0.53182
667.0,0.2098,0.8198,1.94261,0.26243,0.6342,0.80944
14408.0,0.1426,0.7026,0.41466,1.07029,0.54224,0.78622
