Map_ID,Omega_m,sigma_8,A_SN1,A_AGN1,A_SN2,A_AGN2
1078.0,0.4726,0.7954,1.67249,0.4383,1.50629,0.64305
14574.0,0.1714,0.7802,3.52592,3.02723,1.57462,0.57875
13020.0,0.2982,0.9422,0.4275,2.82451,1.81127,0.91193
362.0,0.2366,0.6746,0.42279,3.31728,0.57714,1.5252
10919.0,0.465,0.9318,2.5633,0.70809,0.65565,1.94666
823.0,0.2378,0.6914,0.52196,0.8179,1.05336,0.67315
8399.0,0.4734,0.9854,0.55325,0.40332,1.11651,1.19997
8237.0,0.3722,0.697,1.08222,3.48703,0.96126,0.72749
5684.0,0.3162,0.8482,0.87661,0.94213,0.78622,1.04464
13443.0,0.4254,0.8306,0.87904,2.01391,0.59999,0.60752
9016.0,0.2294,0.9322,0.74846,2.69447,1.22519,0.9801
10934.0,0.1062,0.7022,0.45439,1.95342,0.54905,1.60547
5734.0,0.3318,0.8494,0.62851,2.62079,1.17365,1.91189
11868.0,0.2534,0.6958,2.47942,2.36526,1.07252,1.05482
2391.0,0.3834,0.8374,2.53503,0.47897,0.69592,0.96126
11572.0,0.4206,0.7866,0.42632,0.41581,0.51228,1.59218
9526.0,0.3182,0.9442,0.75891,0.81338,1.25614,0.78079
13608.0,0.2706,0.9634,2.30697,0.4275,0.84148,1.94127
420.0,0.4366,0.9886,0.39557,1.14076,0.70956,0.79059
6212.0,0.4558,0.6358,1.19582,0.86214,1.00486,1.34443
4358.0,0.225,0.953,0.50628,1.84805,0.86155,1.21841
13622.0,0.4614,0.6642,2.09943,0.49107,1.43495,1.12896
13207.0,0.4162,0.865,0.26981,0.89876,0.73255,1.14631
875.0,0.237,0.8118,3.09513,0.32219,1.32042,0.88823
13490.0,0.4666,0.8354,3.16455,0.26316,0.537,1.06069
